distance,enemyVel
156.19691,1.3356323
155.97836,1.3322144
155.77138,1.3290405
155.5759,1.3259888
155.39188,1.3231201
155.21927,1.3204346
155.058,1.3179321
154.90804,1.3155518
154.76933,1.3133545
154.64186,1.3112793
154.52556,1.3094482
154.4204,1.3077393
154.32635,1.3062134
154.24341,1.3048096
154.17151,1.3035889
154.11066,1.3025513
154.06082,1.3016357
154.022,1.3009033
153.99416,1.300354
