dist_x,dist_y,playerVel,enemyVel
-75.21091,-87.30896,1.9859619,2.7042847
-63.960297,-145.31064,2.0144653,2.0281372
-55.10266,-205.35477,-1.9786377,1.4769897
10.197205,-265.34473,-1.9829712,-1.1886902
37.58014,-309.38937,-1.9785767,-1.0090027
66.98709,-309.38937,-2.020752,-1.0268555
96.06085,-309.38937,-2.2799072,-1.2165527
127.60309,-309.38937,-1.9736938,-0.93536377
159.28156,-309.38937,-2.0042725,-0.9215698
191.47455,-273.37997,-2.0038452,-0.960083
215.68396,-213.36365,-2.0181274,-1.0672607
229.51697,-153.3374,1.9887695,-1.1450806
142.8479,-93.32669,0.0,-0.7781372
130.78241,-33.326508,0.0,-0.9827881
105.35498,26.665527,-1.9923706,-2.854065
47.711548,84.76257,0.0,-1.3782959
-1.5427246,144.76627,1.8884888,-2.0193481
-6.319214,204.88663,1.8449097,1.3745728
-24.23822,236.78497,1.9614258,1.3029175
-44.08264,236.78497,1.975708,1.3018799
-64.60083,236.78497,2.0407104,1.3441772
-85.24652,228.36157,2.4263306,1.7860718
-102.53381,194.73581,1.9915161,1.4398193
-119.73169,194.73581,1.9835205,1.3772583
-138.74365,194.73581,2.0419617,1.378479
-159.75577,194.73581,2.0059814,1.2723999
-181.43777,156.75983,2.00589,1.335144
-199.77963,96.70761,1.9952087,1.4279785
-202.04115,36.686493,0.0,0.6402588
-181.29503,-23.332031,0.0,0.6251526
-158.94765,-83.6658,0.0,0.64520264
-84.279816,-143.38196,-2.0284119,1.95578
3.4002686,-203.3974,-1.995575,-1.5672913
22.281311,-263.63367,-2.184143,-1.3911743
49.190155,-297.41583,-2.024475,-1.081543
77.648834,-297.41583,-1.996582,-1.037323
106.76581,-289.45648,-1.9451294,-0.9915161
133.15732,-237.37337,-1.9990234,-1.1723328
126.32416,-237.37337,2.034607,-1.2202759
28.03717,-237.37337,1.8873901,-1.2211304
-12.989746,-237.37337,2.0083008,1.3544922
-15.528595,-237.37337,0.0,0.55682373
1.5803833,-237.37337,-1.979065,-1.3257751
21.175842,-237.37337,-2.00885,-1.3514404
42.582947,-271.42023,-1.9822998,-1.1477051
-2.9075928,-301.3862,1.9545898,1.0238037
-31.030396,-301.3862,1.5875244,0.7373047
-56.401978,-245.63635,1.9825745,1.2508545
-73.47589,-185.64612,1.9538879,1.5403137
-77.70917,-125.56435,1.9947205,2.1414795
